File	User_ID	Action	IP	Timestamp
JDmix.mp3	aji	Upload	10.1.135.169	Thu Oct 31 23:21:24 2019
JDmix.mp3	root	Download	10.1.139.241	Thu Oct 31 23:21:56 2019
